Campaign ID,Campaign Name,Campaign Code,Code Used,Code Quota,Campaign Start Date,Campaign End Date,Promo Duration
487,Thank DOKU its Friday,TDIFGIFT,0,50,"April 19, 2019, 00:00","April 21, 2019, 23:59",2 days
161,test XL 2,TestXL2,0,4,"November 2, 2016, 00:00","November 3, 2016, 23:59",1 days
390,test deezer diorama ,testdeezer,0,100,"May 2, 2018, 00:00","May 5, 2018, 23:59",3 days
356,DOKU PEDAS FITNESIA ,PEDASFIT,0,300,"March 30, 2018, 00:00","May 1, 2018, 23:59",32 days
935,CEBAN,CEBANBILLERSEP9,"1,500","1,500","September 25, 2024, 00:00","October 10, 2024, 23:59",15 days
810,CEBAN,CEBANGAMEOCT,"1,491","1,500","October 25, 2022, 00:00","November 10, 2022, 23:59",16 days
312,Harbolnas DOKU 100K,DOKUBOLNAS100K,0,500,"December 12, 2017, 00:00","December 31, 2017, 23:59",19 days
712,CEBAN,BILLERSNYACEBAN,15,500,"August 25, 2021, 00:00","September 10, 2021, 23:59",16 days
726,DOKUISOMEN,K24DOKU,0,200,"September 25, 2021, 00:00","October 25, 2021, 23:59",30 days
587,CEBAN,CEBANMOVIE1,44,250,"January 25, 2020, 00:00","February 10, 2020, 23:59",16 days
649,CEBAN JULY ,CEBANPULSA008,231,500,"July 25, 2020, 00:00","August 10, 2020, 23:59",16 days
899,CEBAN,CEBANGOCTAHUNBARU,726,750,"December 25, 2023, 00:00","January 10, 2024, 23:59",16 days
41,LONDONFEB,LONDON,2,25,"February 6, 2016, 00:00","February 10, 2016, 23:59",4 days
633,CEBAN APRIL ,CEBANTAGIHANAPRIL,498,500,"April 25, 2020, 00:00","May 10, 2020, 23:59",15 days
773,CEBAN,CEBANMUSICAPRIL22,3,500,"March 25, 2022, 00:00","April 10, 2022, 23:59",16 days
625,test hypermart,testhypermart,0,"1,000","April 15, 2020, 00:00","April 18, 2020, 23:59",3 days
174,CODA Valentine,DOKUCODA45,3,500,"February 10, 2017, 00:00","February 19, 2017, 23:59",9 days
856,CEBAN,CEBANJULIGOC7,743,750,"June 25, 2023, 00:00","July 10, 2023, 23:59",15 days
335,Tes Oriflame PEDAS,TESTORIFLAMECODE,0,20,"February 1, 2018, 00:00","February 28, 2018, 23:59",27 days
81,test marcell,TM100,0,120,"May 16, 2016, 00:00","May 17, 2016, 23:59",1 days
906,BERKAHRAMADAN,BNETFITDOKU10,0,200,"March 20, 2024, 00:00","April 30, 2024, 23:59",41 days
816,CEBAN,TAGIHAN12,"1,491","1,500","December 25, 2022, 00:00","January 10, 2023, 23:59",16 days
541,DOKU CEBAN,CEBANMUSIC9,19,250,"September 25, 2019, 00:00","October 10, 2019, 23:59",15 days
17,QCVoucherRegDate,QCVoucherRegDate,1,2,"December 31, 2015, 00:00","January 9, 2016, 23:59",9 days
165,TESTXL6,TESTXL6,0,2,"November 2, 2016, 00:00","November 3, 2016, 23:59",1 days
530,DOKU CEBAN ,CEBANPULSA7,466,500,"July 25, 2019, 00:00","August 10, 2019, 23:59",16 days
93,SUKA RAJAKARCIS,SUKARAJAKARCIS,0,100,"May 24, 2016, 00:00","June 5, 2016, 23:59",12 days
839,BAROKAH RAMADAN,RAMADANAIRASIARIDE,0,200,"March 22, 2023, 00:00","April 30, 2023, 23:59",39 days
616,HAPPYDIRUMAH,UNIPINHAPPY,7,"1,000","March 27, 2020, 00:00","April 13, 2020, 23:59",17 days
